iter	Passed	Remaining
0	151	150971
1	152	76175
2	154	51194
3	155	38760
4	157	31325
5	159	26393
6	160	22797
7	162	20134
8	163	18032
9	164	16320
10	165	14918
11	167	13782
12	168	12810
13	170	11996
14	171	11278
15	173	10649
16	174	10096
17	175	9592
18	177	9177
19	179	8771
20	180	8401
21	181	8066
22	182	7762
23	183	7480
24	184	7204
25	185	6961
26	186	6736
27	188	6528
28	189	6346
29	190	6167
30	192	6011
31	193	5853
32	194	5710
33	196	5574
34	197	5445
35	198	5316
36	199	5199
37	201	5089
38	202	4982
39	203	4883
40	204	4790
41	206	4699
42	207	4612
43	208	4529
44	209	4450
45	211	4376
46	212	4300
47	213	4227
48	214	4159
49	215	4093
50	216	4033
51	217	3971
52	219	3915
53	220	3857
54	221	3804
55	222	3752
56	223	3703
57	225	3656
58	226	3610
59	227	3561
60	228	3514
61	229	3468
62	230	3426
63	231	3385
64	232	3345
65	233	3308
66	234	3272
67	235	3233
68	236	3197
69	238	3163
70	239	3131
71	240	3101
72	241	3072
73	243	3041
74	244	3013
75	245	2986
76	246	2956
77	247	2926
78	248	2898
79	249	2871
80	250	2843
81	251	2816
82	252	2785
83	253	2764
84	254	2741
85	255	2717
86	256	2695
87	257	2672
88	258	2649
89	259	2628
90	261	2607
91	262	2586
92	263	2567
93	264	2547
94	265	2527
95	266	2507
96	267	2490
97	268	2473
98	269	2454
99	270	2437
100	271	2419
101	272	2402
102	273	2384
103	275	2370
104	276	2354
105	277	2339
106	278	2324
107	279	2310
108	280	2296
109	281	2281
110	283	2266
111	284	2253
112	285	2238
113	286	2224
114	287	2210
115	288	2195
116	288	2180
117	289	2167
118	291	2155
119	292	2143
120	293	2130
121	294	2116
122	295	2103
123	295	2090
124	296	2078
125	298	2067
126	298	2055
127	299	2042
128	300	2031
129	301	2019
130	302	2008
131	303	1997
132	304	1986
133	305	1976
134	306	1966
135	307	1956
136	308	1944
137	309	1933
138	310	1924
139	311	1914
140	312	1904
141	313	1893
142	314	1884
143	315	1875
144	316	1867
145	317	1857
146	318	1848
147	319	1840
148	321	1835
149	322	1827
150	323	1819
151	324	1810
152	325	1803
153	327	1797
154	328	1789
155	329	1782
156	330	1775
157	331	1767
158	332	1759
159	333	1752
160	334	1743
161	335	1736
162	336	1728
163	337	1721
164	338	1714
165	342	1719
166	343	1712
167	344	1704
168	345	1698
